Agent Token Reduction Analysis
================================================================================

Total agents exceeding 500 tokens: 62

All agents exceeding 500 tokens (sorted by tokens DESC):
--------------------------------------------------------------------------------
container-security                       1983 tokens (1469 words)
agentops                                 1958 tokens (1450 words)
containerization-planner                 1949 tokens (1444 words)
release-manager                          1871 tokens (1386 words)
project-onboarding                       1820 tokens (1348 words)
api-security                             1817 tokens (1346 words)
secrets-manager                          1810 tokens (1341 words)
policy-as-code-compliance                1804 tokens (1336 words)
orchestrator                             1766 tokens (1308 words)
mcp-developer                            1763 tokens (1306 words)
performance-analyst                      1762 tokens (1305 words)
sre-engineer                             1754 tokens (1299 words)
ux-designer                              1735 tokens (1285 words)
penetration-test                         1693 tokens (1254 words)
finops-advisor                           1683 tokens (1247 words)
mlops                                    1675 tokens (1241 words)
dataops                                  1643 tokens (1217 words)
agent-designer                           1631 tokens (1208 words)
api-designer                             1619 tokens (1199 words)
prompt-coach                             1611 tokens (1193 words)
issue-triage                             1606 tokens (1190 words)
sprint-planner                           1600 tokens (1185 words)
data-tier                                1586 tokens (1175 words)
github-security-posture                  1562 tokens (1157 words)
security-monitor                         1554 tokens (1151 words)
solution-architect                       1539 tokens (1140 words)
identity-architect                       1536 tokens (1138 words)
security-analyst                         1534 tokens (1136 words)
legacy-modernization                     1524 tokens (1129 words)
ci-failure-escalation                    1515 tokens (1122 words)
prompt-engineer                          1482 tokens (1098 words)
app-inventory                            1382 tokens (1024 words)
middleware-dev                           1365 tokens (1011 words)
gitops-engineer                          1349 tokens (999 words)
database-migration                       1347 tokens (998 words)
backend-dev                              1331 tokens (986 words)
dependency-lifecycle                     1331 tokens (986 words)
frontend-dev                             1311 tokens (971 words)
instruction-auditor                      1242 tokens (920 words)
security-operations                      1208 tokens (895 words)
production-readiness                     1161 tokens (860 words)
guardrail                                1126 tokens (834 words)
infrastructure-deploy                    1031 tokens (764 words)
config-auditor                           1026 tokens (760 words)
product-manager                          1000 tokens (741 words)
memory-promoter                           994 tokens (736 words)
self-healing-ci                           938 tokens (695 words)
guidance-reviewer                         927 tokens (687 words)
tech-writer                               915 tokens (678 words)
resilience-reviewer                       903 tokens (669 words)
data-architect                            898 tokens (665 words)
strategy-to-automation                    895 tokens (663 words)
dependency-update-advisor                 883 tokens (654 words)
sprint-project-mapper                     811 tokens (601 words)
exploratory-charter                       788 tokens (584 words)
escalation-router                         732 tokens (542 words)
guidance-author                           713 tokens (528 words)
manual-test-strategy                      710 tokens (526 words)
dependency-blocker-monitor                675 tokens (500 words)
sprint-closeout-auditor                   563 tokens (417 words)
change-isolation-architect                536 tokens (397 words)
dotnet-modernization-advisor              529 tokens (392 words)
