"oldname","fullpath","newname","parentdir","old"
"AGENT_RUNTIME_ENFORCEMENT.md","F:\Git\basecoat\docs\agents\AGENT_RUNTIME_ENFORCEMENT.md","agent-runtime-enforcement.md","F:\Git\basecoat\docs\agents","agents\AGENT_RUNTIME_ENFORCEMENT.md"
"AGENT_SKILL_MAP.md","F:\Git\basecoat\docs\agents\AGENT_SKILL_MAP.md","agent-skill-map.md","F:\Git\basecoat\docs\agents","agents\AGENT_SKILL_MAP.md"
"AGENT_TELEMETRY.md","F:\Git\basecoat\docs\agents\AGENT_TELEMETRY.md","agent-telemetry.md","F:\Git\basecoat\docs\agents","agents\AGENT_TELEMETRY.md"
"AGENT_TESTING_HARNESS.md","F:\Git\basecoat\docs\agents\AGENT_TESTING_HARNESS.md","agent-testing-harness.md","F:\Git\basecoat\docs\agents","agents\AGENT_TESTING_HARNESS.md"
"AGENT_TESTING.md","F:\Git\basecoat\docs\agents\AGENT_TESTING.md","agent-testing.md","F:\Git\basecoat\docs\agents","agents\AGENT_TESTING.md"
"BEHAVIORAL_EVAL.md","F:\Git\basecoat\docs\agents\BEHAVIORAL_EVAL.md","behavioral-eval.md","F:\Git\basecoat\docs\agents","agents\BEHAVIORAL_EVAL.md"
"CONTEXT_ASSEMBLY_CONTRACT.md","F:\Git\basecoat\docs\agents\CONTEXT_ASSEMBLY_CONTRACT.md","context-assembly-contract.md","F:\Git\basecoat\docs\agents","agents\CONTEXT_ASSEMBLY_CONTRACT.md"
"EXTENSION_INTENT_ROUTING_EVAL.md","F:\Git\basecoat\docs\agents\EXTENSION_INTENT_ROUTING_EVAL.md","extension-intent-routing-eval.md","F:\Git\basecoat\docs\agents","agents\EXTENSION_INTENT_ROUTING_EVAL.md"
"MULTI_AGENT_WORKFLOWS.md","F:\Git\basecoat\docs\agents\MULTI_AGENT_WORKFLOWS.md","multi-agent-workflows.md","F:\Git\basecoat\docs\agents","agents\MULTI_AGENT_WORKFLOWS.md"
"TOOLS_UI_CHAT_DEBUG_RUNBOOK.md","F:\Git\basecoat\docs\agents\TOOLS_UI_CHAT_DEBUG_RUNBOOK.md","tools-ui-chat-debug-runbook.md","F:\Git\basecoat\docs\agents","agents\TOOLS_UI_CHAT_DEBUG_RUNBOOK.md"
"VS_CODE_HARNESS_BENCHMARKS.md","F:\Git\basecoat\docs\agents\VS_CODE_HARNESS_BENCHMARKS.md","vs-code-harness-benchmarks.md","F:\Git\basecoat\docs\agents","agents\VS_CODE_HARNESS_BENCHMARKS.md"
"AI_ARCHITECTURE_PATTERNS.md","F:\Git\basecoat\docs\architecture\AI_ARCHITECTURE_PATTERNS.md","ai-architecture-patterns.md","F:\Git\basecoat\docs\architecture","architecture\AI_ARCHITECTURE_PATTERNS.md"
"COMPANION_WEB_APP_SPEC.md","F:\Git\basecoat\docs\architecture\COMPANION_WEB_APP_SPEC.md","companion-web-app-spec.md","F:\Git\basecoat\docs\architecture","architecture\COMPANION_WEB_APP_SPEC.md"
"LOCAL_EMBEDDINGS.md","F:\Git\basecoat\docs\architecture\LOCAL_EMBEDDINGS.md","local-embeddings.md","F:\Git\basecoat\docs\architecture","architecture\LOCAL_EMBEDDINGS.md"
"LOCAL_MODELS.md","F:\Git\basecoat\docs\architecture\LOCAL_MODELS.md","local-models.md","F:\Git\basecoat\docs\architecture","architecture\LOCAL_MODELS.md"
"OFFLINE_AGENT_STACK.md","F:\Git\basecoat\docs\architecture\OFFLINE_AGENT_STACK.md","offline-agent-stack.md","F:\Git\basecoat\docs\architecture","architecture\OFFLINE_AGENT_STACK.md"
"RAG_PATTERNS.md","F:\Git\basecoat\docs\architecture\RAG_PATTERNS.md","rag-patterns.md","F:\Git\basecoat\docs\architecture","architecture\RAG_PATTERNS.md"
"API_DELIVERY_SUMMARY.md","F:\Git\basecoat\docs\archive\API_DELIVERY_SUMMARY.md","api-delivery-summary.md","F:\Git\basecoat\docs\archive","archive\API_DELIVERY_SUMMARY.md"
"CLEANUP_AUDIT_INDEX.md","F:\Git\basecoat\docs\archive\CLEANUP_AUDIT_INDEX.md","cleanup-audit-index.md","F:\Git\basecoat\docs\archive","archive\CLEANUP_AUDIT_INDEX.md"
